File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::resize( int newRows, int newCols, const QModelIndex& parent )",47,44,24,9,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::at( int row, int col, const QModelIndex &parent ) const",16,16,8,5,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::editable() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::setEditable(bool isEditable),13,10,6,3,1,0,2,2,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::selectable() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::setSelectable(bool isSelectable),13,10,6,3,1,0,2,2,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::read(const QJsonObject& jsonObject),77,71,41,13,6,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::write(QJsonObject& jsonObject) const,15,13,9,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::_clearFlags(const QModelIndex& parent),20,19,8,5,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::_resetFlags(const QModelIndex& parent),22,21,10,5,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::TableModelCollection(),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,"GUI::TableModelCollection::TableModelCollection( const QVector<SimpleTableModel>& items, Field field )",1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::operator [](int idx),2,2,2,1,0,0,0,0,
